role,target,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog
CHR:pituitary gland,GenRA TN Act=0 (0.237) AUC=0 p=0.965,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,250mg/kg/day,no_effect,no_effect,0.6mg/kg/day,no_effect,no_data
CHR:preputial gland,GenRA TN Act=0 (0.228) AUC=0 p=0.785,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,500mg/kg/day,no_effect,no_data,no_data,no_data,no_data
CHR:prostate,GenRA TN Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data
CHR:protein,GenRA Neg Act=0 (0.195) AUC=0 p=0.775,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_effect,250mg/kg/day,no_data
CHR:salivary glands,GenRA TN Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data
CHR:seminal vesicle,GenRA TN Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data
CHR:skeletal muscle,GenRA TN Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data
CHR:skin,GenRA TN Act=0 (0.351) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,500mg/kg/day,0.123mg/kg/day,no_effect,no_effect,54.8mg/kg/day,no_data
CHR:sodium,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,200mg/kg/day,no_data,no_data,no_data,no_data,40mg/kg/day,no_data
CHR:specific gravity/osmolality,GenRA Neg Act=0 (0.21) AUC=0 p=0.765,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,469mg/kg/day,no_data,no_effect,no_effect,no_effect,no_effect,no_data
CHR:spinal cord,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_effect,no_effect,no_data
CHR:spleen,GenRA TN Act=0 (0.155) AUC=0 p=0.865,no_data,150mg/kg/day,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data
CHR:stomach,GenRA FP Act=1 (0.513) AUC=0 p=0.985,no_data,37.5mg/kg/day,no_data,no_effect,no_data,no_data,no_data,no_data,968mg/kg/day,250mg/kg/day,no_effect,no_effect,no_effect,12.05mg/kg/day,no_data
CHR:testes,GenRA TN Act=0 (0.123) AUC=0 p=0.9,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,968mg/kg/day,no_effect,no_effect,no_effect,no_effect,no_effect,no_data
CHR:thymus,GenRA TN Act=0 (0.262) AUC=0 p=0.785,no_data,no_effect,no_data,12.5mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data
CHR:thyroid gland,GenRA TN Act=0 (0.239) AUC=0.07142857142857145 p=0.945,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,114mg/kg/day,no_effect,no_effect,no_effect,3mg/kg/day,no_effect,no_data
CHR:tongue,GenRA TN Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data
CHR:trachea,GenRA TN Act=0 (0) AUC=0 p=1,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,no_effect,no_data
CHR:triglycerides,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,0.57mg/kg/day,no_data,no_data,no_data,no_data
CHR:urea nitrogen,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,35.6mg/kg/day,no_data,250mg/kg/day,no_data
CHR:urinary bladder,GenRA TN Act=0 (0.269) AUC=0 p=0.96,no_data,150mg/kg/day,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,no_effect,2mg/kg/day,no_data
CHR:uterus,GenRA TN Act=0 (0.116) AUC=0 p=0.905,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_effect,no_effect,no_effect,100mg/kg/day,no_effect,no_data
CHR:vagina,GenRA TN Act=0 (0.179) AUC=0 p=0.855,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_effect,no_effect,no_data,300mg/kg/day,no_data,no_data
CHR:volume,GenRA Neg Act=0 (0.21) AUC=0 p=0.83,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,200mg/kg/day,no_data,no_effect,no_effect,no_effect,no_effect,no_data
DEV:aborted,GenRA Neg Act=0 (0.074) AUC=0 p=0.86,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,200mg/kg/day,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:all gross anomalies,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:birth index,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:body weight,GenRA Pos Act=1 (1) AUC=0 p=1,500mg/kg/day,no_data,no_data,no_data,no_data,120mg/kg/day,no_data,100mg/kg/day,200mg/kg/day,no_data,no_data,400mg/kg/day,300mg/kg/day,50mg/kg/day,no_data
DEV:bone,GenRA Pos Act=1 (0.702) AUC=0 p=0.975,500mg/kg/day,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,200mg/kg/day,300mg/kg/day,no_effect,no_data
DEV:clinical signs,GenRA Pos Act=1 (0.775) AUC=0.5 p=0.44,1000mg/kg/day,no_data,no_data,no_data,no_data,no_effect,no_data,100mg/kg/day,no_effect,no_data,no_data,200mg/kg/day,no_effect,50mg/kg/day,no_data
DEV:corpora lutea,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:dead fetuses,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:dystocia,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:estrous cycle,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,200mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data
DEV:eye,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,300mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:food consumption,GenRA Pos Act=1 (0.846) AUC=0.1 p=0.93,1000mg/kg/day,no_data,no_data,no_data,no_data,no_effect,no_data,300mg/kg/day,no_effect,no_data,no_data,200mg/kg/day,300mg/kg/day,50mg/kg/day,no_data
DEV:full gross necropsy,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:general,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,50mg/kg/day,no_data
DEV:gestation index,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:implantations,GenRA Neg Act=0 (0.074) AUC=0 p=0.825,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,200mg/kg/day,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:intestine large,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,300mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:litter size,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:litter viability other,GenRA Neg Act=0 (0.074) AUC=0 p=0.835,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,200mg/kg/day,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:live fetuses,GenRA Neg Act=0 (0.074) AUC=0 p=0.87,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,200mg/kg/day,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:liver,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,120mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,300mg/kg/day,no_data,no_data
DEV:lung,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,750mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data
DEV:mortality,GenRA Neg Act=0 (0.218) AUC=0 p=0.98,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,300mg/kg/day,200mg/kg/day,no_data,no_data,no_effect,no_effect,50mg/kg/day,no_data
DEV:offspring survival early other,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:other,GenRA Neg Act=0 (0.07) AUC=0 p=0.865,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,600mg/kg/day,no_effect,no_effect,no_data
DEV:postimplantation loss,GenRA Neg Act=0 (0.08) AUC=0 p=0.83,no_effect,no_data,no_data,no_data,no_data,180mg/kg/day,no_data,no_effect,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:pregnancy,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:preimplantation loss,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:premature delivery,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:reproductive performance other,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:resorptions,GenRA Neg Act=0 (0.069) AUC=0 p=0.855,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_effect,no_effect,50mg/kg/day,no_data
DEV:sex ratio,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:spinal cord,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:stomach,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,750mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data
DEV:thymus,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,200mg/kg/day,no_data,no_data,no_data
DEV:trunk,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_effect,no_effect,no_effect,no_data
DEV:uterus,GenRA Neg Act=0 (0.15) AUC=0 p=0.965,no_effect,no_data,no_data,no_data,no_data,180mg/kg/day,no_data,no_effect,no_effect,no_data,no_data,1000mg/kg/day,no_effect,no_effect,no_data
DEV:vagina,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,300mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data
MGR:[other],GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data
MGR:aborted,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data
MGR:adrenal gland,GenRA Neg Act=0 (0.158) AUC=0 p=0.82,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_data,1016mg/kg/day,no_effect,no_data,no_effect,no_data
MGR:all gross anomalies,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data
MGR:birth index,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data
MGR:body weight,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,20mg/kg/day,no_data,591.76mg/kg/day,no_data,385mg/kg/day,no_data,1150mg/kg/day,326.4mg/kg/day,no_data,4.25mg/kg/day,no_data
MGR:brain,GenRA Neg Act=0 (0.459) AUC=0 p=0.43,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,1150mg/kg/day,no_data,no_data,no_data,no_data
MGR:cervix,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data
MGR:clinical signs,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_effect,no_data
MGR:coagulating gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data,no_data
