role,target,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog,analog
CHR:pharynx,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:pituitary gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:preputial gland,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:prostate,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:protein,GenRA Neg Act=0 (0.353) AUC=0 p=0.885,no_effect,no_data,no_effect,no_data,93.1mg/kg/day,no_data,1mg/kg/day,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:reticulocyte,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,17mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:salivary glands,GenRA Neg Act=0 (0.144) AUC=0 p=0.88,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,7mg/kg/day,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:seminal vesicle,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:skeletal muscle,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:skin,GenRA Neg Act=0 (0.154) AUC=0 p=0.84,no_effect,no_data,no_effect,no_data,no_effect,no_data,1mg/kg/day,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:specific gravity/osmolality,GenRA Neg Act=0 (0.177) AUC=0 p=0.835,no_effect,no_data,no_effect,no_data,8mg/kg/day,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:spinal cord,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:spleen,GenRA Neg Act=0 (0.154) AUC=0 p=0.84,no_effect,no_data,no_effect,no_data,46.4mg/kg/day,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:stomach,GenRA Neg Act=0 (0.364) AUC=0 p=0.92,130mg/kg/day,no_data,no_effect,no_data,no_effect,no_data,10mg/kg/day,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:testes,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:thymus,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:thyroid gland,GenRA Neg Act=0 (0.308) AUC=0 p=0.92,no_effect,no_data,no_effect,no_data,27.2mg/kg/day,no_data,10mg/kg/day,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:thyroxine (t4),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,93.1mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:tongue,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:trachea,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:triiodothyronine (t3),GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,93.1mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:urinary bladder,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:uterus,GenRA Neg Act=0 (0.128) AUC=0 p=0.83,no_effect,no_data,no_effect,no_data,no_effect,no_data,no_effect,no_effect,no_data,no_data,no_data,5mg/kg/day,no_data,no_data,no_data
CHR:vagina,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_effect,no_data,no_data,no_data
CHR:volume,GenRA Neg Act=0 (0.177) AUC=0 p=0.76,no_effect,no_data,no_effect,no_data,32.9mg/kg/day,no_data,no_effect,no_effect,no_data,no_data,no_data,no_data,no_data,no_data,no_data
CHR:water consumption,GenRA Pos Act=1 (1) AUC=0 p=1,35mg/kg/day,no_data,no_data,no_data,27.2mg/kg/day,no_data,no_data,6mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:[other],GenRA Pos Act=1 (1) AUC=0 p=1,320mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:aborted,GenRA Neg Act=0 (0.278) AUC=0 p=0.975,no_effect,no_effect,no_data,no_data,12mg/kg/day,no_data,1.2ppm,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:all gross anomalies,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:anisocytosis,GenRA Pos Act=1 (1) AUC=0 p=1,320mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:birth index,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:body weight,GenRA Pos Act=1 (1) AUC=0 p=1,100.1mg/kg/day,125mg/kg/day,no_data,no_data,12mg/kg/day,no_data,1.2ppm,no_data,no_data,no_data,no_data,60mg/kg/day,no_data,500mg/kg/day,750mg/kg/day
DEV:bone,GenRA Neg Act=0 (0.371) AUC=0 p=0.95,no_effect,no_effect,no_data,no_data,12mg/kg/day,no_data,no_effect,no_data,no_data,no_data,no_data,60mg/kg/day,no_data,50mg/kg/day,no_effect
DEV:brain,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,60mg/kg/day,no_data,no_data,no_data
DEV:clinical signs,GenRA Pos Act=1 (1) AUC=0 p=1,320mg/kg/day,20mg/kg/day,no_data,no_data,7mg/kg/day,no_data,1.2ppm,no_data,no_data,no_data,no_data,30mg/kg/day,no_data,500mg/kg/day,750mg/kg/day
DEV:corpora lutea,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:dead fetuses,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:dystocia,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:erythrocyte (rbc) count differential,GenRA Pos Act=1 (1) AUC=0 p=1,100.1mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:eye,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,60mg/kg/day,no_data,no_data,750mg/kg/day
DEV:food consumption,GenRA Pos Act=1 (0.7) AUC=0 p=0.93,no_effect,90mg/kg/day,no_data,no_data,7mg/kg/day,no_data,1.2ppm,no_data,no_data,no_data,no_data,60mg/kg/day,no_data,500mg/kg/day,no_effect
DEV:full gross necropsy,GenRA Neg Act=0 (0.116) AUC=0 p=0.895,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,90mg/kg/day,no_data,no_effect,no_effect
DEV:general,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,50mg/kg/day,no_data
DEV:gestation index,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:hemoglobin (hgb),GenRA Pos Act=1 (1) AUC=0 p=1,50.05mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:hypochromia,GenRA Pos Act=1 (1) AUC=0 p=1,320mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:implantations,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:intestine small,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,30mg/kg/day,no_data,no_data,no_data
DEV:kidney,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,90mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,100mg/kg/day,no_data
"DEV:lipids, total",GenRA Pos Act=1 (1) AUC=0 p=1,320mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:litter size,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:litter viability other,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:live fetuses,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:liver,GenRA Pos Act=1 (1) AUC=0 p=1,320mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,30mg/kg/day,no_data,no_data,no_data
DEV:lung,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,90mg/kg/day,no_data,no_data,no_data,no_data,2ppm,no_data,no_data,no_data,no_data,no_data,no_data,500mg/kg/day,750mg/kg/day
DEV:mean corpuscular (cell) volume (mcv),GenRA Pos Act=1 (1) AUC=0 p=1,25.05mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:mortality,GenRA Pos Act=1 (0.671) AUC=0 p=0.96,no_effect,20mg/kg/day,no_data,no_data,no_effect,no_data,1.2ppm,no_data,no_data,no_data,no_data,90mg/kg/day,no_data,500mg/kg/day,750mg/kg/day
DEV:offspring survival early other,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:other,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:paw / digit,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,60mg/kg/day,no_data,no_data,no_data
DEV:postimplantation loss,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:pregnancy,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:preimplantation loss,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:premature delivery,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:reproductive performance other,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:resorptions,GenRA Neg Act=0 (0.11) AUC=0 p=0.83,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,375mg/kg/day
DEV:sex ratio,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:spinal cord,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:stomach,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,30mg/kg/day,no_data,no_data,750mg/kg/day
DEV:thymus,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,90mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
DEV:trachea,GenRA Pos Act=1 (1) AUC=0 p=1,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,500mg/kg/day,no_data
DEV:trunk,GenRA Neg Act=0 (0) AUC=0 p=1,no_effect,no_effect,no_data,no_data,no_effect,no_data,no_effect,no_data,no_data,no_data,no_data,no_effect,no_data,no_effect,no_effect
DEV:uterus,GenRA Neg Act=0 (0.255) AUC=0.3 p=0.71,no_effect,no_effect,no_data,no_data,no_effect,no_data,2ppm,no_data,no_data,no_data,no_data,no_effect,no_data,500mg/kg/day,no_effect
DEV:water consumption,GenRA Pos Act=1 (1) AUC=0 p=1,100.1mg/kg/day,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
